"","region","item_name","item_code","unit_name","Otherunit","unit_code","factor","source"
"1769","1","FRESH FISH LARGE VARIETY","5031","HEAP SMALL","","10A",0.520105243,"1"
"1770","2","FRESH FISH LARGE VARIETY","5031","HEAP SMALL","","10A",0.171999991,"1"
"1771","3","FRESH FISH LARGE VARIETY","5031","HEAP SMALL","","10A",0.151749998,"1"
"1772","1","FRESH FISH LARGE VARIETY","5031","HEAP MEDIUM","","10B",0.640799999,"1"
"1773","2","FRESH FISH LARGE VARIETY","5031","HEAP MEDIUM","","10B",0.104666665,"1"
"1774","3","FRESH FISH LARGE VARIETY","5031","HEAP MEDIUM","","10B",0.136777773,"1"
"1775","1","FRESH FISH LARGE VARIETY","5031","HEAP LARGE","","10C",0.851499975,"1"
"1776","2","FRESH FISH LARGE VARIETY","5031","HEAP LARGE","","10C",0.157000005,"1"
"1777","3","FRESH FISH LARGE VARIETY","5031","HEAP LARGE","","10C",0.101999998,"1"
"1778","1","FRESH FISH LARGE VARIETY","5031","PIECE SMALL","","9A",0.217999995,"1"
"1779","2","FRESH FISH LARGE VARIETY","5031","PIECE SMALL","","9A",0.157499999,"1"
"1780","3","FRESH FISH LARGE VARIETY","5031","PIECE SMALL","","9A",0.102500007,"1"
"1781","1","FRESH FISH LARGE VARIETY","5031","PIECE MEDIUM","","9B",0.345999986,"1"
"1782","2","FRESH FISH LARGE VARIETY","5031","PIECE MEDIUM","","9B",0.254999995,"1"
"1783","3","FRESH FISH LARGE VARIETY","5031","PIECE MEDIUM","","9B",0.144999996,"1"
"1784","1","FRESH FISH LARGE VARIETY","5031","PIECE LARGE","","9C",0.550000012,"1"
"1785","2","FRESH FISH LARGE VARIETY","5031","PIECE LARGE","","9C",0.382499993,"1"
"1786","3","FRESH FISH LARGE VARIETY","5031","PIECE LARGE","","9C",0.196500003,"1"
"1787","1","FRESH FISH MEDIUM VARIETY","5032","HEAP SMALL","","10A",0.197999999,"1"
"1788","2","FRESH FISH MEDIUM VARIETY","5032","HEAP SMALL","","10A",0.124499999,"1"
"1789","3","FRESH FISH MEDIUM VARIETY","5032","HEAP SMALL","","10A",0.195999995,"1"
"1790","1","FRESH FISH MEDIUM VARIETY","5032","HEAP MEDIUM","","10B",0.355000019,"1"
"1791","2","FRESH FISH MEDIUM VARIETY","5032","HEAP MEDIUM","","10B",0.185000002,"1"
"1792","3","FRESH FISH MEDIUM VARIETY","5032","HEAP MEDIUM","","10B",0.312000006,"1"
"1793","1","FRESH FISH MEDIUM VARIETY","5032","HEAP LARGE","","10C",0.555000007,"1"
"1794","2","FRESH FISH MEDIUM VARIETY","5032","HEAP LARGE","","10C",0.280000001,"1"
